Pokemon,HP,Attack,Defense,Special Attack,Special Defense,Speed,Type1,Type2,Move 1,Move 2,Move 3,Size,Weight,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Passive 1,Passive 2,Passive 3,Passive 4,Passive 5,Passive 6,Passive 7,Proficiency 1,Proficiency 2,Proficiency 3,Proficiency 4,Proficiency 5,Proficiency 6,Proficiency 7,Proficiency 8,EggGroup1,EggGroup2,Egg Hatch Rate,Habitat 1,Habitat 2,Habitat 3,Habitat 4,Habitat 5,Diet,Rarity,Base Form,Special Form Type,Gigantamax Move,Evolves From,Legendary HP,Move 4,Move 5,Move 6,Legendary Move 1,Legendary Move 2,Legendary Move 3,Legendary Move 4,Legenadary Passive 1,Legenadary Passive 2,Legenadary Passive 3,Legendary Feature 1,Legendary Feature 2
Sceptile,42,9,7,11,9,12,Grass,,Dual Chop,X-Scissor,Leaf Storm,Large,Medium,Climber,Sprouter,,,,,,Agility,Screech,Leaf Guard,Overgrow,,,,Grass,Blades/Claws,Draconian,,,,,Frenzy Plant,Monster,Dragon,10 Days,Forest,,,,,Omnivore,Rare,,,,Grovyle,,,,,,,,,,,,,
Mega Sceptile,42,11,8,15,9,15,Grass,Dragon,Dual Chop,X-Scissor,Leaf Storm,Huge,Medium,Climber,Sprouter,,,,,,Agility,Screech,Leaf Guard,Overgrow,Lightning Rod,,,Grass,Blades/Claws,Draconian,,,,,Frenzy Plant,Monster,Dragon,10 Days,Forest,,,,,Omnivore,Rare,Sceptile,Mega,,Grovyle,,,,,,,,,,,,,
Turtwig,36,7,6,5,6,3,Grass,,Tackle,Absorb,Razor Leaf,Small,Medium,Sprouter,,,,,,,Withdraw,Overgrow,,,,,,Grass,Ground,,,,,,,Monster,Grass,10 Days,Forest,,,,,Phototroph,Rare,,,,,,,,,,,,,,,,,
Grotle,48,9,9,6,7,4,Grass,,Bite,Mega Drain,Leech Seed,Medium,Heavy,Sprouter,,,,,,,Withdraw,Overgrow,,,,,,Grass,Ground,,,,,,,Monster,Grass,10 Days,Forest,,,,,Phototroph,Rare,,,,Turtwig,,,,,,,,,,,,,
Torterra,60,11,11,8,9,6,Grass,Ground,Earthquake,Synthesis,Giga Drain,Large,Superweight,Groundshaper,Sinker,Sprouter,,,,,Withdraw,Overgrow,Shell Armor,,,,,Grass,Ground,Stampeding,,,,,"Frenzy Plant, Wood Hammer",Monster,Grass,10 Days,Forest,,,,,Phototroph,Rare,,,,Grotle,,,,,,,,,,,,,
Snivy,30,5,6,5,6,6,Grass,,Tackle,Vine Whip,Wrap,Small,Light,Sprouter,Threaded,Tracker,,,,,Leer,Overgrow,,,,,,Grass,Poison (Melee Attacks),,,,,,"Bind, Leaf Tornado, Vine Whip, Wrap",Field,Grass,10 Days,Grasslands,Field,Forest,,,Omnivore,Rare,,,,,,,,,,,,,,,,,
Servine,36,6,8,6,8,8,Grass,,Mega Drain,Slam,Leaf Blade,Small,Medium,Sprouter,Threaded,Tracker,Stealth,,,,Growth,Leer,Overgrow,,,,,Grass,Poison (Melee Attacks),Blades/Claws,,,,,"Bind, Leaf Tornado, Vine Whip, Wrap",Field,Grass,10 Days,Grasslands,Field,Forest,,,Omnivore,Rare,,,,Snivy,,,,,,,,,,,,,
Serperior,48,8,10,8,10,11,Grass,,Giga Drain,Gastro Acid,Leaf Storm,Large,Medium,Sprouter,Threaded,Tracker,Stealth,,,,Coil,Leer,Overgrow,Chlorophyll,,,,Grass,Poison (Melee Attacks),Blades/Claws,,,,,"Bind, Leaf Tornado, Vine Whip, Wrap, Frenzy Plant",Field,Grass,10 Days,Grasslands,Field,Forest,,,Omnivore,Rare,,,,Servine,,,,,,,,,,,,,
Chespin,36,6,7,5,5,4,Grass,,Tackle,Vine Whip,Rollout,Small,Medium,Sprouter,Threaded,,,,,,Growl,Overgrow,,,,,,Grass,Fighting,Prickly,,,,,Vine Whip,Field,-,10 Days,Field,Forest,Grasslands,,,Herbivore,Rare,,,,,,,,,,,,,,,,,
Quilladin,36,8,10,6,6,6,Grass,,Needle Arm,Bite,Pin Missile,Small,Medium,Sprouter,Threaded,,,,,,Growl,Overgrow,,,,,,Grass,Fighting,Bruiser,Martial (No Punches/Kicks),Prickly,,,"Vine Whip, Needle Arm",Field,-,10 Days,Field,Forest,Grasslands,,,Herbivore,Rare,,,,Chespin,,,,,,,,,,,,,
Chesnaught,54,11,12,7,8,6,Grass,Fighting,Spiky Shield,Wood Hammer,Hammer Arm,Medium,Heavy,Sprouter,Threaded,,,,,,Bulk Up,Growl,Overgrow,Shell Armor,,,,Grass,Fighting,Bruiser,Martial (No Punches/Kicks),Prickly,,,"Vine Whip, Needle Arm, Frenzy Plant, Spiky Shield, Wood Hammer",Field,-,10 Days,Field,Forest,Grasslands,,,Herbivore,Rare,,,,Quilladin,,,,,,,,,,,,,
Rowlet,42,6,6,5,5,4,Grass,Flying,Tackle,Leafage,Peck,Small,Featherweight,Flight,Sprouter,,,,,,Growl,Overgrow,,,,,,Grass,Flying,Avian,Winged,,,,,Flying,-,10 Days,Forest,Woodlands,,,,Omnivore,Rare,,,,,,,,,,,,,,,,,
Dartrix,48,8,8,7,7,5,Grass,Flying,Astonish,Razor Leaf,Foresight,Small,Medium,Flight,Sprouter,,,,,,Growl,Overgrow,,,,,,Grass,Flying,Avian,Winged,,,,,Flying,-,10 Days,Forest,Woodlands,,,,Omnivore,Rare,,,,Rowlet,,,,,,,,,,,,,
Decidueye,48,11,8,10,10,7,Grass,Ghost,Spirit Shackle,Sucker Punch,Leaf Blade,Medium,Medium,Flight,Reach,Sprouter,Stealth,,,,Feather Dance,Nasty Plot,Overgrow,,,,,Grass,Flying,Avian,Winged,Ghost,,,"Frenzy Plant, Spirit Shackle",Flying,-,10 Days,Forest,Woodlands,,,,Omnivore,Rare,,,,Dartrix,,,,,,,,,,,,,
Grookey,30,7,5,4,4,7,Grass,,Scratch,Branch Poke,Taunt,Small,Light,Climber,,,,,,,Growl,Overgrow,,,,,,Grass,Sound,,,,,,Branch Poke,Field,Grass,10 Days,Jungle,,,,,Omnivore,Rare,,,,,,,,,,,,,,,,,
Thwackey,42,9,7,6,6,8,Grass,,Knock Off,Slam,Uproar,Medium,Medium,Climber,,,,,,,Growl,Screech,Overgrow,,,,,Grass,Sound,Bruiser,,,,,Branch Poke,Field,Grass,10 Days,Jungle,,,,,Omnivore,Rare,,,,Grookey,,,,,,,,,,,,,
Rillaboom,60,13,9,6,7,9,Grass,,Drum Beating,Boomburst,Endeavor,Large,Heavy,Climber,Strength,,,,,,Growl,Screech,Grassy Surge,Overgrow,,,,Grass,Sound,Bruiser,,,,,"Branch Poke, Drum Beating, Frenzy Plant, Wood Hammer",Field,Grass,10 Days,Jungle,,,,,Omnivore,Rare,,,G-Max Drum Solo,Thwackey,,,,,,,,,,,,,
Gigantamax Rillaboom,300,13,9,6,7,9,Grass,,Drum Beating,Boomburst,Endeavor,Large (Dynamic),Heavy (Dynamic),Climber,Strength,,,,,,Growl,Screech,Grassy Surge,Overgrow,,,,Grass,Sound,Bruiser,,,,,"Branch Poke, Drum Beating, Frenzy Plant, Wood Hammer",Field,Grass,10 Days,Jungle,,,,,Omnivore,Rare,Rillaboom,Gigantamax,G-Max Drum Solo,Thwackey,,,,,,,,,,,,,
Charmander,24,5,4,6,5,7,Fire,,Scratch,Ember,Smoke Screen,Small,Light,Firestarter,Sinker,,,,,,Growl,Blaze,,,,,,Fire,,,,,,,,Monster,Dragon,10 Days,Mountains,Volcanoes,,,,Omnivore,Rare,,,,,,,,,,,,,,,,,
Charmeleon,36,6,6,8,7,8,Fire,,Dragon Rage,Fire Fang,Slash,Medium,Medium,Firestarter,Sinker,,,,,,Growl,Blaze,,,,,,Fire,Blades/Claws,,,,,,,Monster,Dragon,10 Days,Mountains,Volcanoes,,,,Omnivore,Rare,,,,Charmander,,,,,,,,,,,,,
Charizard,48,8,8,11,9,10,Fire,Flying,Wing Attack,Flamethrower,Fire Spin,Large,Heavy,Firestarter,Sinker,Flight,,,,,Growl,Blaze,Solar Power,,,,,Fire,Winged,Blades/Claws,Flying,Draconian,,,"Blast Burn, Heat Crash",Monster,Dragon,10 Days,Mountains,Volcanoes,,,,Omnivore,Rare,,,G-Max Wildfire,Charmeleon,,,,,,,,,,,,,
Gigantamax Charizard,240,8,8,11,9,10,Fire,Flying,Wing Attack,Flamethrower,Fire Spin,Large (Dynamic),Heavy (Dynamic),Firestarter,Sinker,Flight,,,,,Growl,Blaze,Solar Power,,,,,Fire,Winged,Blades/Claws,Flying,,,,Blast Burn,Monster,Dragon,10 Days,Mountains,Volcanoes,,,,Omnivore,Rare,Charizard,Gigantamax,G-Max Wildfire,Charmeleon,,,,,,,,,,,,,
Mega Charizard X,48,13,11,13,9,10,Fire,Dragon,Wing Attack,Flamethrower,Fire Spin,Large,Heavy,Firestarter,Sinker,,,,,,Growl,Blaze,Solar Power,Tough Claws and Fangs,,,,Fire,Winged,Blades/Claws,Flying,,,,Blast Burn,Monster,Dragon,11 Days,Mountains,Volcanoes,,,,Omnivore,Rare,Charizard,Mega,G-Max Wildfire,Charmeleon,,,,,,,,,,,,,
Mega Charizard Y,48,10,8,16,12,10,Fire,Flying,Wing Attack,Flamethrower,Fire Spin,Large,Heavy,Firestarter,Sinker,,,,,,Growl,Blaze,Solar Power,Drought,,,,Fire,Winged,Blades/Claws,Flying,,,,Blast Burn,Monster,Dragon,12 Days,Mountains,Volcanoes,,,,Omnivore,Rare,Charizard,Mega,G-Max Wildfire,Charmeleon,,,,,,,,,,,,,
Cyndaquil,24,5,4,6,5,7,Fire,,Smoke Screen,Ember,Quick Attack,Small,Light,Firestarter,Sinker,,,,,,Leer,Blaze,,,,,,Fire,,,,,,,"Burn Up, Eruption",Field,-,10 Days,Grasslands,Volcanoes,,,,Omnivore,Rare,,,,,,,,,,,,,,,,,
Quilava,36,6,6,8,7,8,Fire,,Swift,Flame Charge,Rollout,Medium,Medium,Firestarter,Sinker,,,,,,Defense Curl,Leer,Blaze,,,,,Fire,Stampeding,,,,,,"Burn Up, Eruption",Field,-,10 Days,Grasslands,Volcanoes,,,,Omnivore,Rare,,,,Cyndaquil,,,,,,,,,,,,,
Typhlosion,48,8,8,11,9,10,Fire,,Flamethrower,Double Edge,Eruption,Large,Heavy,Firestarter,Sinker,,,,,,Defense Curl,Leer,Blaze,Flash Fire,,,,Fire,Stampeding,,,,,,"Burn Up, Eruption, Blast Burn",Field,-,10 Days,Grasslands,Volcanoes,,,,Omnivore,Rare,,,,Quilava,,,,,,,,,,,,,
Torchic,30,6,4,7,5,5,Fire,,Scratch,Ember,Peck,Small,Featherweight,Firestarter,,,,,,,Growl,Blaze,,,,,,Fire,Avian,,,,,,,Field,-,10 Days,Savanna,Volcanoes,,,,Omnivore,Rare,,,,,,,,,,,,,,,,,
Combusken,36,9,6,9,6,6,Fire,Fighting,Double Kick,Flame Charge,Quick Attack,Medium,Medium,Firestarter,,,,,,,Bulk Up,Focus Energy,Growl,Blaze,,,,Fire,Avian,Fighting,,,,,,Field,-,10 Days,Savanna,Volcanoes,,,,Omnivore,Rare,,,,Torchic,,,,,,,,,,,,,
Blaziken,48,12,7,11,7,8,Fire,Fighting,Blaze Kick,Slash,Brave Bird,Medium,Medium,Firestarter,,,,,,,Bulk Up,Focus Energy,Speed Boost,Blaze,,,,Fire,Avian,Fighting,Martial (No Electric or Ice-type moves),,,,"Blast Burn, Heat Crash",Field,-,10 Days,Savanna,Volcanoes,,,,Omnivore,Rare,,,,Combusken,,,,,,,,,,,,,
Mega Blaziken,48,16,8,13,8,10,Fire,Fighting,Blaze Kick,Slash,Brave Bird,Large,Medium,Firestarter,,,,,,,Bulk Up,Focus Energy,Speed Boost,Blaze,Speed Purity,,,Fire,Avian,Fighting,Martial (No Electric or Ice-type moves),,,,Blast Burn,Field,-,10 Days,Savanna,Volcanoes,,,,Omnivore,Rare,Blaziken,Mega,,Combusken,,,,,,,,,,,,,
Chimchar,24,6,4,6,4,6,Fire,,Scratch,Ember,Taunt,Small,Light,Climber,Firestarter,Sinker,,,,,Leer,Blaze,,,,,,Fire,,,,,,,Slack Off,Field,Humanshape,10 Days,Mountains,,,,,Omnivore,Rare,,,,,,,,,,,,,,,,,
Monferno,36,8,5,8,5,8,Fire,Fighting,Mach Punch,Fury Swipes,Flame Wheel,Small,Medium,Climber,Firestarter,Sinker,,,,,Leer,Blaze,,,,,,Fire,Fighting,Martial (No Ice-type moves),,,,,Slack Off,Field,Humanshape,10 Days,Mountains,,,,,Omnivore,Rare,,,,Chimchar,,,,,,,,,,,,,
Infernape,48,10,7,10,7,11,Fire,Fighting,Close Combat,Flare Blitz,Punishment,Medium,Medium,Climber,Firestarter,Sinker,,,,,Leer,Blaze,Iron Fist,Calm Mind,,,,Fire,Fighting,Martial (No Ice-type moves),,,,,"Slack Off, Blast Burn",Field,Humanshape,10 Days,Mountains,,,,,Omnivore,Rare,,,,Monferno,,,,,,,,,,,,,
Tepig,42,6,5,5,5,5,Fire,,Tackle,Ember,Odor Sleuth,Small,Light,Firestarter,Tracker,,,,,,Defense Curl,Tail Whip,Blaze,,,,,Fire,Martial (No Punches/Kicks),,,,,,"Burn Up, Heat Crash, Odor Sleuth",Field,-,10 Days,Field,Grasslands,,,,Omnivore,Rare,,,,,,,,,,,,,,,,,
Pignite,54,9,6,7,6,6,Fire,Fighting,Arm Thrust,Flame Charge,Rollout,Medium,Medium,Firestarter,Sinker,Tracker,,,,,Defense Curl,Tail Whip,Blaze,,,,,Fire,Fighting,Bruiser,Martial (No Punches/Kicks),,,,"Burn Up, Heat Crash, Odor Sleuth, Arm Thrust",Field,-,10 Days,Field,Grasslands,,,,Omnivore,Rare,,,,Tepig,,,,,,,,,,,,,
Emboar,66,12,7,10,7,7,Fire,Fighting,Assurance,Head Smash,Flare Blitz,Large,Heavy,Firestarter,Sinker,Strength,Tracker,,,,Defense Curl,Tail Whip,Blaze,Reckless,,,,Fire,Fighting,Bruiser,Martial (No Punches/Kicks),Stampeding,,,"Burn Up, Heat Crash, Odor Sleuth, Arm Thrust, Blast Burn",Field,-,10 Days,Field,Grasslands,,,,Omnivore,Rare,,,,Pignite,,,,,,,,,,,,,
Fennekin,24,5,4,6,6,6,Fire,,Scratch,Ember,Flame Charge,Small,Light,Firestarter,,,,,,,Howl,Blaze,,,,,,Fire,,,,,,,,Field,-,10 Days,Desert,Forest,,,,Omnivore,Rare,,,,,,,,,,,,,,,,,
Braixen,36,6,6,9,7,7,Fire,,Fire Spin,Psybeam,Light Screen,Medium,Medium,Firestarter,,,,,,,Howl,Blaze,,,,,,Fire,Psychic,Hexwork,Spellcraft,,,,,Field,-,10 Days,Desert,Forest,,,,Omnivore,Rare,,,,Fennekin,,,,,,,,,,,,,
Delphox,48,7,7,11,10,10,Fire,Psychic,Mystical Fire,Will-O-Wisp,Psychic,Medium,Medium,Firestarter,Telekinetic,,,,,,Howl,Blaze,Magician,,,,,Fire,Psychic,Hexwork,Spellcraft,,,,Blast Burn,Field,-,10 Days,Desert,Forest,,,,Omnivore,Rare,,,,Braixen,,,,,,,,,,,,,
Litten,30,7,4,6,4,7,Fire,,Scratch,Ember,Lick,Small,Light,Firestarter,,,,,,,Growl,Leer,Blaze,,,,,Fire,Bruiser,,,,,,,Field,-,10 Days,Grasslands,Jungle,,,,Carnivore,Rare,,,,,,,,,,,,,,,,,
Torracat,42,9,5,8,5,9,Fire,,Fire Fang,Bite,Swagger,Medium,Medium,Firestarter,,,,,,,Growl,Leer,Blaze,,,,,Fire,Bruiser,Dark,,,,,,Field,-,10 Days,Grasslands,Jungle,,,,Carnivore,Rare,,,,Litten,,,,,,,,,,,,,
Incineroar,60,12,9,8,9,6,Fire,Dark,Darkest Lariat,Flare Blitz,Cross Chop,Large,Heavy,Firestarter,,,,,,,Growl,Intimidate,Blaze,,,,,Fire,Bruiser,Martial (No Punches/Kicks),Dark,,,,"Blast Burn, Heat Crash",Field,-,10 Days,Grasslands,Jungle,,,,Carnivore,Rare,,,,Torracat,,,,,,,,,,,,,
Raboot,42,9,6,6,6,9,Fire,,Counter,Flame Charge,Headbutt,Small,Light,Firestarter,,,,,,,Growl,Blaze,,,,,,Fire,Munition,,,,,,,Field,Humanshape,10 Days,Grasslands,,,,,Herbivore,Rare,,,,,,,,,,,,,,,,,
Scorbunny,30,7,4,4,4,7,Fire,,Quick Attack,Ember,Double Kick,Medium,Light,Firestarter,,,,,,,Growl,Blaze,,,,,,Fire,,,,,,,Bounce,Field,Humanshape,10 Days,Grasslands,,,,,Herbivore,Rare,,,,Raboot,,,,,,,,,,,,,
Cinderace,48,12,8,7,8,12,Fire,,Double Edge,Bounce,Pyro Ball,Medium,Medium,Firestarter,,,,,,,Agility,Growl,Blaze,Libero,,,,Fire,Munition,,,,,,"Bounce, Blast Burn, Pyro Ball",Field,Humanshape,10 Days,Grasslands,,,,,Herbivore,Rare,,,G-Max Fireball,Scorbunny,,,,,,,,,,,,,
Gigantamax Cinderace,240,12,8,7,8,12,Fire,,Double Edge,Bounce,Pyro Ball,Large (Dynamic),Heavy (Dynamic),Firestarter,,,,,,,Agility,Growl,Blaze,Libero,,,,Fire,Munition,,,,,,"Bounce, Blast Burn, Pyro Ball",Field,Humanshape,10 Days,Grasslands,,,,,Herbivore,Rare,Cinderace,Gigantamax,G-Max Fireball,Scorbunny,,,,,,,,,,,,,
Squirtle,24,5,7,5,6,4,Water,,Tackle,Water Gun,Rapid Spin,Small,Light,Fountain,Swimmer,,,,,,Withdraw,Torrent,,,,,,Ice,Water,,,,,,"Shell Smash, Skull Bash",Monster,Water 1,10 Days,Lakes,Ponds,,,,Omnivore,Rare,,,,,,,,,,,,,,,,,
Wartortle,36,6,8,7,8,6,Water,,Bite,Water Pulse,Skull Bash,Medium,Medium,Fountain,Swimmer,,,,,,Iron Defense,Torrent,,,,,,Ice,Water,,,,,,"Shell Smash, Skull Bash",Monster,Water 1,10 Days,Lakes,Ponds,,,,Omnivore,Rare,,,,Squirtle,,,,,,,,,,,,,
Blastoise,48,8,10,9,11,8,Water,,Aqua Tail,Rain Dance,Hydro Pump,Large,Heavy,Fountain,Swimmer,,,,,,Iron Defense,Rain Dish,Torrent,,,,,Ice,Water,Pulse,Stampeding,,,,"Shell Smash, Skull Bash, Hydro Cannon",Monster,Water 1,10 Days,Lakes,Ponds,,,,Omnivore,Rare,,,G-Max Cannonade,Wartortle,,,,,,,,,,,,,
Gigantamax Blastoise,240,8,10,9,11,8,Water,,Aqua Tail,Rain Dance,Hydro Pump,Large (Dynamic),Heavy (Dynamic),Fountain,Swimmer,,,,,,Iron Defense,Rain Dish,Torrent,,,,,Ice,Water,Pulse,Stampeding,,,,"Shell Smash, Skull Bash, Hydro Cannon",Monster,Water 1,10 Days,Lakes,Ponds,,,,Omnivore,Rare,Blastoise,Gigantamax,G-Max Cannonade,Wartortle,,,,,,,,,,,,,
Mega Blastoise,48,10,12,14,12,8,Water,,Aqua Tail,Rain Dance,Hydro Pump,Large,Heavy,Fountain,Swimmer,,,,,,Iron Defense,Rain Dish,Torrent,Mega Cannon,,,,Ice,Water,Pulse,Stampeding,,,,"Shell Smash, Skull Bash, Hydro Cannon",Monster,Water 1,10 Days,Lakes,Ponds,,,,Omnivore,Rare,Blastoise,Mega,G-Max Cannonade,Wartortle,,,,,,,,,,,,,
Totodile,30,7,6,4,5,4,Water,,Scratch,Water Gun,Bite,Small,Light,Fountain,Swimmer,,,,,,Leer,Torrent,,,,,,Ice (Melee attacks),Water,Fangs (No electric-type moves),,,,,,Monster,Water 1,10 Days,Lakes,Rivers,,,,Carnivore,Rare,,,,,,,,,,,,,,,,,
Croconaw,42,8,8,6,6,6,Water,,Rage,Ice Fang,Crunch,Medium,Medium,Fountain,Swimmer,,,,,,Leer,Scary Face,Torrent,,,,,Ice (Melee attacks),Water,Fangs (No electric-type moves),,,,,,Monster,Water 1,10 Days,Lakes,Rivers,,,,Carnivore,Rare,,,,Totodile,,,,,,,,,,,,,
Feraligatr,54,11,10,8,8,8,Water,,Slash,Aqua Tail,Superpower,Large,Heavy,Fountain,Swimmer,,,,,,Leer,Scary Face,Sheer Force,Torrent,,,,Ice (Melee attacks),Water,Fangs (No electric-type moves),,,,,Hydro Cannon,Monster,Water 1,10 Days,Lakes,Rivers,,,,Carnivore,Rare,,,,Croconaw,,,,,,,,,,,,,
Mudkip,30,7,5,5,5,4,Water,,Tackle,Water Gun,Mud-Slap,Small,Light,Fountain,Gilled,Swimmer,,,,,Growl,Torrent,,,,,,Ground,Water,,,,,,,Monster,Water 1,10 Days,Beach,Marsh,,,,Omnivore,Rare,,,,,,,,,,,,,,,,,
Marshtomp,42,9,7,6,7,5,Water,Ground,Mud Shot,Bide,Take Down,Small,Medium,Fountain,Gilled,Swimmer,Strength,,,,Growl,Torrent,,,,,,Ground,Water,,,,,,,Monster,Water 1,10 Days,Beach,Marsh,,,,Omnivore,Rare,,,,Mudkip,,,,,,,,,,,,,
Swampert,60,11,9,9,9,6,Water,Ground,Muddy Water,Earthquake,Hammer Arm,Large,Heavy,Fountain,Gilled,Swimmer,Groundshaper,Strength,,,Growl,Damp,Torrent,,,,,Ground,Water,Bruiser,Stampeding,,,,Hydro Cannon,Monster,Water 1,10 Days,Beach,Marsh,,,,Omnivore,Rare,,,,Marshtomp,,,,,,,,,,,,,
Mega Swampert,60,15,11,10,11,7,Water,Ground,Muddy Water,Earthquake,Hammer Arm,Huge,Heavy,Fountain,Gilled,Swimmer,Groundshaper,,,,Growl,Damp,Torrent,Swifter Swim,,,,Ground,Water,Bruiser,Stampeding,,,,Hydro Cannon,Monster,Water 1,10 Days,Beach,Marsh,,,,Omnivore,Rare,Swampert,Mega,,Marshtomp,,,,,,,,,,,,,
Piplup,30,5,5,6,6,4,Water,,Pound,Bubble,Peck,Small,Light,Fountain,Swimmer,,,,,,Growl,Torrent,,,,,,Ice,Water,Avian,,,,,,Water 1,Field,10 Days,Polar,,,,,Omnivore,Rare,,,,,,,,,,,,,,,,,
Prinplup,36,7,7,8,8,5,Water,,Fury Attack,Metal Claw,Bubble Beam,Small,Medium,Fountain,Swimmer,,,,,,Growl,Torrent,,,,,,Ice,Steel,Water,Avian,,,,,Water 1,Field,10 Days,Polar,,,,,Omnivore,Rare,,,,Piplup,,,,,,,,,,,,,
Empoleon,48,9,9,11,10,6,Water,Steel,Aqua Jet,Brine,Drill Peck,Large,Heavy,Fountain,Swimmer,,,,,,Growl,Defiant,Torrent,,,,,Ice,Steel,Water,Avian,Blades/Claws,,,Hydro Cannon,Water 1,Field,10 Days,Polar,,,,,Omnivore,Rare,,,,Prinplup,,,,,,,,,,,,,
Oshawott,36,6,5,6,5,5,Water,,Tackle,Water Gun,Water Sport,Small,Light,Fountain,Swimmer,,,,,,Tail Whip,Torrent,,,,,,Fighting,Ice,Water,Blades/Claws,,,,Razor Shell,Field,-,10 Days,Beach,,,,,Omnivore,Rare,,,,,,,,,,,,,,,,,
Dewott,48,8,6,8,6,6,Water,,Razor Shell,Fury Cutter,Aqua Jet,Medium,Medium,Fountain,Swimmer,,,,,,Focus Energy,Tail Whip,Torrent,,,,,Fighting,Ice,Water,Blades/Claws,,,,Razor Shell,Field,-,10 Days,Beach,,,,,Omnivore,Rare,,,,Oshawott,,,,,,,,,,,,,
